Year|MainOustandingTaxLiab|SecondaryTaxLiab|ContestedTaxLiab|TotalTaxLiab|UncontestedTaxLiab|BudgetType|ID
2018|78458|29538|0|107996|107996|DateBudget|6597
2018|44667|65689|0|110356|110356|DateBudget|6598
2018|118003|46254|0|164257|164257|DateBudget|6599
2018|155209|25434|0|180643|180643|DateBudget|6600
2018|271624|14|0|271638|271638|DateBudget|6601
2018|558480|42803|0|601283|601283|DateBudget|6602
2018|797378|397755|0|1195133|1195133|DateBudget|6603
2018|253102|44967|0|298069|298069|DateBudget|6604
2018|146920|99961|0|246881|246881|DateBudget|6605
2018|6257274|4561802|0|10819076|10819076|DateBudget|6606
2018|36210|32637|0|68847|68847|DateBudget|6607
2018|61844|17486|0|79330|79330|DateBudget|6608
2018|63177|36022|0|99199|99199|DateBudget|6609
2018|71249|8732|0|79981|79981|DateBudget|6610
2018|486093|0|0|486093|486093|DateBudget|6611
2018|36114|5908|0|42022|42022|DateBudget|6612
2018|46938|113809|0|160747|160747|DateBudget|6613
2018|520803|4936242|0|5457045|5457045|DateBudget|6614
2018|599196|37201|0|636397|636397|DateBudget|6615
2018|165909|119592|0|285501|285501|DateBudget|6616
2018|150217|76932|0|227149|227149|DateBudget|6617
2018|23888|53013|0|76901|76901|DateBudget|6618
2018|95766|64880|0|160646|160646|DateBudget|6619
2018|10991|17693|0|28684|28684|DateBudget|6620
2018|18865|4286|0|23151|23151|DateBudget|6621
2018|351819|95765|0|447584|447584|DateBudget|6622
2018|90747|125028|0|215775|215775|DateBudget|6623
2018|65531|138708|0|204239|204239|DateBudget|6624
2018|106500|405908|0|512408|512408|DateBudget|6625
2018|229|676446|0|676675|676675|DateBudget|6626
2018|152819|1097360|0|1250179|1250179|DateBudget|6627
2018|28257|62788|0|91045|91045|DateBudget|6628
2018|61012|56707|0|117719|117719|DateBudget|6629
2018|132206|195594|0|327800|327800|DateBudget|6630
2018|60408|51866|0|112274|112274|DateBudget|6631
2018|42176|82458|0|124634|124634|DateBudget|6632
2018|91737|203532|0|295269|295269|DateBudget|6633
2018|872547|322455|0|1195002|1195002|DateBudget|6634
2018|952947|272758|0|1225705|1225705|DateBudget|6635
2018|3260820|3748912|0|7009732|7009732|DateBudget|6636
2018|74503|18666|0|93169|93169|DateBudget|6637
2018|47892|61444|0|109336|109336|DateBudget|6638
2018|44670|70758|0|115428|115428|DateBudget|6639
2018|40232|193779|0|234011|234011|DateBudget|6640
2018|1288642|813387|0|2102029|2102029|DateBudget|6641
2018|880676|708664|0|1589340|1589340|DateBudget|6642
2018|373059|195480|425768|568539|142771|DateBudget|6643
2018|20310|27087|0|47397|47397|DateBudget|6644
2018|163277|61684|0|224961|224961|DateBudget|6645
2018|150719|47689|0|198408|198408|DateBudget|6646
2018|304067|147335|0|451402|451402|DateBudget|6647
2018|136846|129876|0|266722|266722|DateBudget|6648
2018|2997061|119693|0|3116754|3116754|DateBudget|6649
2018|50014|139101|0|189115|189115|DateBudget|6650
2018|280500|120884|0|401384|401384|DateBudget|6651
2018|153139|93323|0|246462|246462|DateBudget|6652
