ID|FirstRegistrationAge|LastRegistrationAge|TotalNoRecords|AverageNoRecords
959|9|10|1|
960|4|5|6|
961|5|6|7|
962|5|6|8|
963|1|2|1|
964|12|10|2|0.66666666666667
965|9|9|5|5
966|4|4|6|6
967|10|10|2|2
968|5|5|9|9
969|8|1|68|8.5
970|7|6|21|10.5
971|1|1|19|19
972|10|9|3|1.5
973|8|8|3|3
974|12|3|3|0.3
975|5|5|13|13
976|7|7|5|5
977|9|10|10|
978|8|8|8|8
979|3|1|15|5
980|1|1|26|26
981|7|6|8|4
982|12|13|2|
983|7|5|35|11.666666666667
984|8|1|70|8.75
985|6|1|41|6.8333333333333
986|4|1|58|14.5
987|4|3|29|14.5
988|12|11|3|1.5
989|9|10|3|
990|6|1|22|3.6666666666667
991|6|7|5|
992|2|1|46|23
993|3|3|13|13
994|1|1|18|18
995|7|1|44|6.2857142857143
996|4|4|9|9
997|9|1|59|6.5555555555556
998|7|6|7|3.5
999|8|9|6|
1000|4|5|8|
1001|10|9|9|4.5
1002|5|1|53|10.6
1003|12|13|1|
1004|8|2|4|0.57142857142857
1005|8|9|1|
1006|9|1|18|2
1007|4|4|7|7
1008|5|1|158|31.6
1009|3|1|121|40.333333333333
1010|7|1|100|14.285714285714
1011|7|7|10|10
1012|5|5|6|6
1013|8|3|41|6.8333333333333
1014|4|4|11|11
1015|1|1|21|21
1016|5|5|9|9
1017|2|2|9|9
1018|8|6|33|11
1019|9|3|80|11.428571428571
1020|2|1|27|13.5
1021|8|9|2|
1022|5|5|10|10
1023|7|6|12|6
1024|6|6|8|8
1025|7|3|15|3
1026|6|5|8|4
1027|5|1|75|15
1028|8|6|9|3
1029|3|1|19|6.3333333333333
1030|5|6|8|
1031|2|1|34|17
1032|6|1|116|19.333333333333
1033|4|3|35|17.5
1034|6|7|10|
1035|6|7|11|
1036|2|1|72|36
1037|9|6|16|4
1038|6|7|8|
1039|9|10|1|
1040|12|13|1|
1041|8|8|12|12
1042|7|7|9|9
1043|10|1|52|5.2
1044|2|1|50|25
1045|6|6|6|6
1046|12|13|1|
1047|6|6|5|5
1048|3|1|120|40
1049|3|3|9|9
1050|2|1|117|58.5
1051|5|2|20|5
1052|7|8|1|
1053|8|9|8|
1054|3|1|77|25.666666666667
1055|4|1|180|45
1056|10|11|1|
1057|6|6|8|8
1058|12|9|7|1.75
1059|5|5|7|7
1060|6|6|14|14
1061|10|10|2|2
1062|8|4|42|8.4
1063|10|11|2|
1064|12|13|1|
1065|12|11|4|2
1066|7|7|5|5
1067|10|11|1|
1068|6|7|5|
1069|4|4|14|14
1070|6|1|174|29
1071|8|3|14|2.3333333333333
1072|12|13|1|
1073|9|10|1|
1074|12|7|20|3.3333333333333
1075|7|7|10|10
1076|9|10|3|
1077|5|1|34|6.8
1078|12|13|1|
1079|5|1|81|16.2
1080|8|9|1|
1081|4|5|5|
1082|9|10|4|
1083|6|1|64|10.666666666667
1084|10|10|2|2
1085|7|6|5|2.5
1086|10|11|1|
1087|6|7|8|
1088|9|8|6|3
1089|2|1|205|102.5
1090|4|4|12|12
1091|9|3|30|4.2857142857143
1092|9|9|3|3
1093|0|1|12|
1094|10|10|2|2
1095|4|1|69|17.25
1096|3|3|15|15
1097|9|9|9|9
1098|9|10|1|
1099|7|7|13|13
1100|5|5|6|6
1101|8|7|26|13
1102|3|1|48|16
1103|12|13|3|
1104|8|7|10|5
1105|5|4|23|11.5
1106|4|2|34|11.333333333333
1107|9|7|11|3.6666666666667
1108|12|4|2|0.22222222222222
